"GID_0","frm_sys","NAME_0","area_sq_km","rural_pop","cropland_area_ha","rural_pop_density_sq_km","cropland_ha_capita"
"AFG","Highland mixed","Afghanistan",186518.952609302,10525693.9873619,767294.426979242,56.4323026701201,0.0728972766926841
"AFG","Pastoral","Afghanistan",316864.322390999,12745662.6355387,1724162.56355198,40.2243538791693,0.135274454758005
"AFG","Sparse (arid)","Afghanistan",83697.5167042015,325128.022441275,115595.757411607,3.88455996359273,0.355539201277201
"AFG","Sparse (mountain)","Afghanistan",46866.661939387,619596.054522055,16591.7794491768,13.2204007898703,0.0267783813794222
"AGO","11. Agro-pastoral","Angola",410438.264751853,6406045.24421288,4670703.23209143,15.6078168006239,0.729108686253952
"AGO","7. Root and tuber crop","Angola",138558.285469966,2305988.97790421,469788.006608475,16.6427360881573,0.203725174365508
"AGO","9. Maize mixed","Angola",643156.936424193,10330266.8397642,9126724.95514971,16.0618136176811,0.883493630582541
"ARG","Cereal-livestock (Campos)","Argentina",287134.373024449,3704739.68883801,10388932.2776662,12.9024597432038,2.80422732775718
"ARG","Extensive dryland mixed (granChac","Argentina",405358.605366002,4284794.78005814,12789565.3274658,10.5703807032525,2.9848723180372
"ARG","High altitude mixed(CentralAndes)","Argentina",312846.77403487,1339740.25845588,1031734.06020447,4.28241672808988,0.770100065063053
"ARG","Pastoral","Argentina",558483.509434586,746908.810726355,94966.7456294255,1.33738740376154,0.127146372175034
"ARG","Temperate mixed (Pampas)","Argentina",1089054.62067498,10093443.0596815,64378379.7802803,9.26807789808164,6.37823777274194
"ARM","Horticulture mixed","Armenia",29666.411103015,1579213.85879192,691915.552136568,53.2323863951115,0.438139235091233
"AZE","Horticulture mixed","Azerbaijan",29325.1743266069,2023276.03994003,1112241.97315501,68.9945102254447,0.549723295882046
"AZE","Irrigated","Azerbaijan",53752.7122602696,4921797.17376405,2794194.28487642,91.5636991475481,0.567718291962751
"BDI","14. Artisanal fishing","Burundi",1836.08004025697,104719.814957619,8319.84803134896,57.0344498396499,0.0794486509999669
"BDI","5. Highland perennial","Burundi",21623.997874396,8960711.97818613,1052343.59157623,414.387387116612,0.117439729581538
"BDI","7. Root and tuber crop","Burundi",3456.98544053282,903286.065238953,160739.469023773,261.292990895481,0.1779496830622
"BEN","11. Agro-pastoral","Benin",11613.8830915792,442122.012757778,572538.39991356,38.0684056548103,1.29497827159136
"BEN","7. Root and tuber crop","Benin",20268.4672821618,3445735.3206296,961430.961330843,170.004730632108,0.279020549133522
"BEN","8. Cereal-root crop mixed","Benin",79838.7742208867,4375119.88767815,2016756.65501443,54.7994371202854,0.46096031806907
"BFA","11. Agro-pastoral","Burkina Faso",144591.262982479,11271376.2274531,4947307.33487107,77.9533700374333,0.438926643475993
"BFA","12. Pastoral","Burkina Faso",23768.1474171244,898537.897621393,470110.181209597,37.8042883129384,0.523194605874801
"BFA","8. Cereal-root crop mixed","Burkina Faso",105058.074167231,7165950.91254064,6472009.87718948,68.209425780392,0.903161346788359
"BGD","Rice-wheat","Bangladesh",33434.3851747929,25938658.8802936,3297505.20278004,775.807862016541,0.127127050708287
"BGD","Rice","Bangladesh",90362.7778746685,57043267.5703875,8745605.69845433,631.269521721714,0.153315300314149
"BLZ","Coastal plantation and mixed","Belize",7248.02602284086,169213.070865814,73069.0448398234,23.3460904158689,0.431816788537378
"BLZ","Dryland mixed","Belize",3998.66170110321,86201.1253106594,105013.915626003,21.5574939202476,1.21824297823891
"BLZ","Maize-beans (Mesoamerica)","Belize",10194.8789713758,115719.399879118,73497.8219782614,11.350737973842,0.63513829189434
"BOL","Extensive dryland mixed (granChac","Bolivia",160748.198932502,1410019.6027826,2327353.93338999,8.77160436102092,1.65058267899048
"BOL","Extensive mixed (CerradosandLlano","Bolivia",65648.5629048997,81351.0585429182,156521.15822165,1.23919024184529,1.92402116241763
"BOL","Forest based","Bolivia",499464.854499483,1645406.00173336,2467217.92050639,3.29433790367939,1.49945844241925
"BOL","High altitude mixed(CentralAndes)","Bolivia",357426.805553576,5289527.5463575,827033.837604758,14.7989111733385,0.156353063738986
"BRA","Cereal-livestock (Campos)","Brazil",439459.790298335,7019482.60902837,25526446.3208129,15.9729803818071,3.63651393451436
"BRA","Dryland mixed","Brazil",1141017.69424778,19159100.4486376,37365594.0404327,16.7912386856265,1.95027914492143
"BRA","Extensive mixed (CerradosandLlano","Brazil",1669463.50127727,9879032.03582835,61757911.114454,5.91748907853937,6.25141318405247
"BRA","Forest based","Brazil",3809768.55211399,9455202.49215149,14195289.9558319,2.48183120911766,1.50132056585938
"BRA","Intensive mixed","Brazil",813115.320536287,31624139.4585013,30390080.747772,38.8925637726807,0.960977318850092
"BTN","Highland mixed","Bhutan",21921.1446465303,688831.081357688,35876.4284582397,31.4231347160386,0.0520830569775208
"BTN","Sparse (mountain)","Bhutan",13738.3142704748,121694.693080768,4619.46984061723,8.85805133620388,0.0379595011390621
"BWA","11. Agro-pastoral","Botswana",238594.095869298,797198.476406044,673023.311215016,3.34123304058098,0.844235571358794
"BWA","12. Pastoral","Botswana",243145.189866654,260366.640498579,687632.687484431,1.07082784833774,2.64101686056123
"BWA","9. Maize mixed","Botswana",96131.5380393371,1109830.33747661,689347.943394662,11.5449139804927,0.621129122278289
"CAF","3. Forest based","Central African Republic",34758.9401312193,456527.260177776,347488.696462541,13.1340961046087,0.761156510844994
"CAF","7. Root and tuber crop","Central African Republic",336577.526091405,2669475.32272145,1130763.50852832,7.93123460654499,0.423590171036136
"CAF","8. Cereal-root crop mixed","Central African Republic",224605.986500339,1164655.98962509,432124.62191052,5.18532924153974,0.371031983486921
"CHN","Lowland rice","China",606239.448073888,216054310.010296,52378906.6326426,356.384446272397,0.242433981669453
"CHN","Pastoral","China",2602119.78388456,44729496.9203683,26405694.2059603,17.1896379241981,0.590341855464421
"CHN","Sparse (arid)","China",2424829.44671061,22020360.4533487,18656646.583807,9.08119970384732,0.847245285713288
"CHN","Temperate mixed","China",854639.594517831,185433964.19862,74220250.7129346,216.973289545797,0.400251653108362
"CHN","Upland intensive mixed","China",1712095.06745941,229527509.368216,66530968.0166457,134.06236238319,0.289860540898889
